video_id,title,channel_name,published_at,publish_year,publish_month,days_since_publish,duration,views,likes,comments,views_per_day,is_viral,language_code,language_name,region_fetched,category_id,fetched_at,publish_day,publish_dow,publish_quarter,publish_week,publish_day_name,publish_month_name,views_normalized,likes_normalized,comments_normalized,views_per_day_normalized,views_standardized,likes_standardized,comments_standardized,views_per_day_standardized,engagement_rate,like_view_ratio,comment_view_ratio,viral_category,viral_score,viral_score_tier,engagement_momentum,release_season,is_weekend_release,video_age_category,growth_rate_score,lang_avg_viral_score,lang_song_count,lang_avg_views,lang_viral_count,lang_viral_rank,channel_avg_views,channel_total_songs,channel_viral_count,channel_avg_viral_score,channel_influence_score,virality_index,virality_prediction
27_zaWWkMBE,Best Slow Turkish Music 2025 Top 10 Relaxing Turkish Song,Carlos Music,2025-01-23,2025,1,456,PT41M50S,3779237,18944,721,8648.14,0,en,English,search,10,2026-04-05 12:41:53,23,3,1,4,Thursday,Jan,0.0121803616865236,0.015039133979599,0.0352756984196878,0.0281134253021022,-0.6250298877145315,-0.7806082335260176,-0.6789765714502365,-0.9275178174199736,0.5203,0.5013,0.0191,Normal,0.017657,NORMAL,0.017788,Winter,0,Old (1+ year),18.965219,0.15536310642857143,1400,35555286.68071429,356.0,21.0,3779237.0,1,0.0,0.017657,0.016564,0.022061,Unlikely to Viral
68lN2pTjiXc,Khalid - Young Dumb & Broke (Lyrics),DopeMusic,2026-03-21,2026,3,34,PT3M25S,730255,1528,19,52161.07,0,en,English,PH,10,2026-04-05 12:41:53,21,5,1,12,Saturday,Mar,0.002339639794015,0.0012130382559558,0.0009295953813787,0.1695655187268855,-0.6860013184507365,-0.8515824849933469,-0.8255008511619439,-0.3112844552885112,0.2118,0.2092,0.0026,Trending,0.00172,NORMAL,0.10191,Spring,1,Established (1-3 months),1534.149118,0.15536310642857143,1400,35555286.68071429,356.0,21.0,1608100.0,2,1.0,0.003561,0.015255,0.040384,Unlikely to Viral
F7tngebCPHw,That thank you 😭 #blackpink#rosé#brunomars#shorts,Jixoo Bear,2024-11-22,2024,11,518,PT17S,7936645,379827,1121,15937.04,0,en,English,search,10,2026-04-05 12:41:53,22,4,4,47,Friday,Nov,0.0255985766585012,0.30153447751632,0.0548461275013454,0.0518082250722833,-0.5418929213716193,0.6900739433391737,-0.5954869533808876,-0.8242918716323647,4.7999,4.7857,0.0141,Growing,0.114229,RISING,0.033176,Autumn,0,Old (1+ year),30.766486,0.15536310642857143,1400,35555286.68071429,356.0,21.0,7936645.0,1,0.0,0.114229,0.043929,0.129136,Unlikely to Viral
sNKD014uRj0,"Ninnila Full Video Song | Tholi Prema Video Songs | Varun Tej, Raashi Khanna | SS Thaman",Aditya Music,2018-04-18,2018,4,2928,PT4M21S,59849782,245787,6859,20574.01,0,en,English,search,10,2026-04-05 12:41:53,18,2,2,16,Wednesday,Apr,0.1931504821091392,0.1951237132307702,0.3355839326777239,0.0668821149171619,0.4962300445542624,0.1438297617428938,0.6021716178239226,-0.7586227564244777,0.4221,0.4107,0.0115,Growing,0.222229,TRENDING,0.040718,Spring,0,Old (1+ year),7.026643,0.15536310642857143,1400,35555286.68071429,356.0,21.0,74608381.70833333,24,9.0,0.25746004166666664,0.333113,0.080368,Unlikely to Viral
50dZ2xoiN2k,"Kalalo Kooda Music Video | Liger (Telugu) | Vijay Deverakonda, Ananya Panday | Tanishk Bagchi",Sony Music South,2022-08-30,2022,8,1333,PT3M15S,45965198,241274,2299,34981.12,0,en-GB,en-GB,search,10,2026-04-05 12:41:53,30,1,3,35,Tuesday,Aug,0.1483373839218838,0.191540963460398,0.1124810411468271,0.1137168343833328,0.2185757482491279,0.1254382368880445,-0.349610028166655,-0.5545881893682529,0.5299,0.5249,0.005,Growing,0.154127,RISING,0.068597,Summer,0,Old (1+ year),26.242401,0.18769923636363636,55,45463133.30909091,14.0,14.0,56848112.60869565,23,6.0,0.21799573913043477,0.285114,0.072749,Unlikely to Viral
VSAx72oNyqM,W.I.N. (Prod. by GRAY),OSUN - Topic,2026-03-27,2026,3,28,PT5M7S,796073,7472,0,88452.56,0,en,English,KR,10,2026-04-05 12:41:53,27,4,1,13,Friday,Mar,0.0025520702490066,0.0059318205814803,0.0,0.2875421117534775,-0.684685135663106,-0.8273593022463438,-0.829466608020238,0.2026783346100394,0.9386,0.9386,0.0,Trending,0.003056,NORMAL,0.172825,Spring,0,Recent (8-30 days),3159.02,0.15536310642857143,1400,35555286.68071429,356.0,21.0,1596116.5,2,1.0,0.0056194999999999995,0.015643,0.054574,Unlikely to Viral
lnQ3N52PmRs,I feel bad for Rosé 🥺😢 #rosé #blackpink,Blackpink-edits,2024-08-03,2024,8,629,PT14S,15191667,381736,5447,24904.37,0,en,English,search,10,2026-04-05 12:41:53,3,5,3,31,Saturday,Aug,0.0490144754161952,0.3030499814630606,0.2665003180194726,0.0809592751378813,-0.3968120152322441,0.6978535624280077,0.3074532660391209,-0.6972958749196101,2.5487,2.5128,0.0359,Growing,0.168722,RISING,0.050807,Summer,1,Old (1+ year),39.593593,0.15536310642857143,1400,35555286.68071429,356.0,21.0,9802038.333333334,3,0.0,0.09434466666666667,0.054993,0.05883,Unlikely to Viral
ae4q8Gf5JJo,🇮🇳 Shake it to the max – Hindi ver. #Shorts,Cha Dabin,2025-07-16,2025,7,282,PT15S,62548372,563284,17074,238734.24,1,en,English,search,10,2026-04-05 12:41:53,16,2,3,29,Wednesday,Jul,0.2018602985960534,0.4471760739318238,0.8353637653505553,0.7760786970717584,0.5501945787071094,1.437703895764634,2.734287739269921,2.330978702642358,0.9279,0.9006,0.0273,Viral,0.402156,VIRAL,0.467021,Summer,0,Mature (3-12 months),846.575319,0.15536310642857143,1400,35555286.68071429,356.0,21.0,37200815.0,3,2.0,0.341394,0.157461,0.41094,Likely Trending
Db5uj_kaVQI,"6uff, ODUMODUBLVCK - 10 Minutes (Visualizer)",6UFF,2026-03-12,2026,3,43,PT2M34S,5662121,60271,2572,246179.17,1,en,English,NG,22,2026-04-05 12:41:53,12,3,1,11,Thursday,Mar,0.0182574516135399,0.0478475318879019,0.1258378589950584,0.800280720100338,-0.5873772773054478,-0.612191094665756,-0.2926283638343244,2.43641435693485,1.1099,1.0645,0.0454,Viral,0.048651,NORMAL,0.482314,Spring,0,Established (1-3 months),5725.096977,0.15536310642857143,1400,35555286.68071429,356.0,21.0,5662121.0,1,1.0,0.048651,0.026409,0.14091,Unlikely to Viral
gqRW9EsHDxI,Shakeeni: Gurnam Bhullar | Kaptaan | Desi Crew | Diamondstar Worldwide | New Punjabi Song 2024,Diamondstar Worldwide,2024-11-08,2024,11,532,PT3M55S,8058313,44701,1022,15708.21,0,en,English,search,10,2026-04-05 12:41:53,8,4,4,45,Friday,Nov,0.0259912654153446,0.0354869260991373,0.0500024463036352,0.0510643431379158,-0.5394598889579112,-0.6756424666998808,-0.6161506338530515,-0.8275325791704814,0.5674,0.5547,0.0127,Growing,0.033642,NORMAL,0.031321,Autumn,0,Old (1+ year),29.526711,0.15536310642857143,1400,35555286.68071429,356.0,21.0,33046087.5,2,0.0,0.1169005,0.098802,0.0,Unlikely to Viral
